"ID","Url","Domain","Infos","Status","Status-txt","Degree-2018","Degree-2008","Creation","Last-update","Last-url","First-social","Blog-users","Stable-users","Fb","Fb-countries","Follow-fb","Creation-fb","Degree-fb","Tw","Tw-countries","Follow-tw","Creation-tw","Degree-tw","Yt","Degree-yt","Md","Degree-md","Fk","Degree-fk"
26,"http://sahara-libre.blogspot.com/","sahara-libre.blogspot.com",,1,"not updated",3,3,2004,2009,"http://sahara-libre.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/wsahara1","None:392;Spain:198;Morocco:79;United-States:41;United-Kingdom:30;Misc:226",966,2016,30,"NA","NA","NA","NA","NA","NA"
27,"http://purplemind-candysha.blogspot.com/","purplemind-candysha.blogspot.com",,1,"not updated",3,3,2007,2008,"http://purplemind-candysha.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
28,"http://poliquonautemarocain.blogspot.com/","poliquonautemarocain.blogspot.com",,1,"not updated",5,8,2005,2014,"http://poliquonautemarocain.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
29,"http://nowbi.over-blog.com/","nowbi.over-blog.com",,1,"not updated",3,3,2005,2011,"http://nowbi.over-blog.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
30,"http://myrtus.typepad.com/","myrtus.typepad.com",,1,"not updated",6,9,2006,2015,"http://myrtus.typepad.com/","NA","NA","NA","https://www.facebook.com/Myrtus1/","United-States:65;Morocco:23;Netherlands:15;Misc:53",157,2010,30,"https://twitter.com/najia7 ","None:798;United-States:1709;United-Kingdom:156;Morocco:102;Misc:702",3467,2009,33,"NA","NA","NA","NA","https://www.pinterest.fr/najiamyrtus/",30
31,"http://mohblog.blogspot.com/","mohblog.blogspot.com",,1,"not updated",5,6,2005,2014,"http://mohblog.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
32,"http://marouki.joeuser.com/","marouki.joeuser.com",,1,"not updated",3,3,2005,2008,"http://marouki.joeuser.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
33,"http://lesamismarocains.blogspot.com/","lesamismarocains.blogspot.com",,1,"not updated",3,3,2007,2009,"http://lesamismarocains.blogspot.com/","NA","NA","NA","https://www.facebook.com/mohammed.benmouh ","NA",118,2011,30,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
34,"http://labelash.blogspot.com/","labelash.blogspot.com",,1,"not updated",12,18,2005,2010,"http://labelash.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.youtube.com/user/labelash ",30,"NA","NA","NA","NA"
35,"http://kugelschreiber.canalblog.com/","kugelschreiber.canalblog.com",,1,"not updated",5,7,2006,2013,"http://kugelschreiber.canalblog.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
